Country,Weighted Average,Minimum,Maximum,Range,Standard deviation
Afghanistan,16.98905994,1.00E-04,0.9395,0.9394,0.146897137
Albania,28.669506,0.0084,0.956,0.9476,0.231571555
Algeria,14.51978879,1.00E-04,0.9969,0.9968,0.209439819
Andorra,4.283971587,0.0206,0.0815,0.0609,0.016620187
Angola,34.81947077,4.00E-04,0.7439,0.7435,0.093366967
Antigua and Barbuda,48.51641327,0.3108,0.8721,0.5613,0.172004623
Argentina,48.66555315,1.00E-04,1.0001,1,0.277548057
Armenia,48.81334769,0.0249,0.9998,0.9749,0.239155189
Australia,32.25474189,0.0025,0.9985,0.996,0.127131964
Austria,26.65724151,0.0056,0.875,0.8694,0.198521004
Azerbaijan,47.06874029,0.0079,0.9521,0.9442,0.196154647
Bahamas,36.82669357,0.2665,0.4889,0.2224,0.072667955
Bahrain,1.425322882,0.0068,0.0497,0.0429,0.010487121
Bangladesh,40.86784247,0.004,0.6701,0.6661,0.118344148
Barbados,64.99738194,0.3301,0.9666,0.6365,0.209934436
Belarus,60.0901347,0.1667,1,0.8333,0.196728705
Belgium,46.41945962,0.0305,0.9036,0.8731,0.148516292
Belize,34.1633696,0.1217,0.7549,0.6332,0.070992129
Benin,52.04165256,0.1664,0.8729,0.7065,0.10699053
Bhutan,2.08533791,0.0011,0.5208,0.5197,0.087244768
Bolivia (Plurinational State of),42.85370906,1.00E-04,1,0.9999,0.198512415
Bosnia and Herzegovina,44.16295067,0.0316,0.9914,0.9598,0.206163945
Botswana,28.5638166,1.00E-04,0.5556,0.5555,0.112740533
Brazil,30.19024888,1.00E-04,0.9851,0.985,0.12091829
Brunei Darussalam,19.08459301,0.0093,0.3077,0.2984,0.073378355
Bulgaria,49.60684375,0.0332,1,0.9668,0.265309999
Burkina Faso,40.25319406,0.1664,0.9699,0.8035,0.141279977
Burundi,25.85390747,0.0228,0.7174,0.6946,0.088185124
Cambodia,32.07395084,0.0123,0.7302,0.7179,0.130337327
Cameroon,34.98939408,0.0081,0.9597,0.9516,0.135097088
Canada,38.01072246,1.00E-04,1.0003,1.0002,0.218447157
Cabo Verde,14.68315045,0.0487,0.2651,0.2164,0.059585297
Central African Republic,36.42030564,0.0697,0.7727,0.703,0.086693304
Chad,31.83766752,1.00E-04,0.8065,0.8064,0.161365311
Chile,30.23324105,1.00E-04,1,0.9999,0.248422271
China,28.57496466,1.00E-04,1.0001,1,0.237697643
Colombia,25.76603934,1.00E-04,0.8034,0.8033,0.140108925
Comoros,18.33682945,0.0184,0.6898,0.6714,0.1552994
Congo,29.104781,0.0139,0.5699,0.556,0.072650295
Costa Rica,37.191324,0.0433,0.8375,0.7942,0.173871883
Croatia,43.03125657,0.0062,0.9585,0.9523,0.19826137
Cuba,42.07016961,0.0291,0.984,0.9549,0.22388456
Cyprus,26.87056142,0.0611,0.7737,0.7126,0.115392381
Czech Republic,41.16282662,0.1092,0.9537,0.8445,0.162483231
C̫te d&#39;Ivoire,35.36825351,0.0118,0.8666,0.8548,0.102537014
Democratic People&#39;s Republic of Korea,18.13067521,0.002,1,0.998,0.231572539
Democratic Republic of the Congo,33.74710286,2.00E-04,0.9994,0.9992,0.101713316
Denmark,56.37129147,0.2197,0.9462,0.7265,0.157668216
Djibouti,4.955224773,0.001,0.1346,0.1336,0.038623783
Dominica,32.3119784,0.2018,0.5451,0.3433,0.089855262
Dominican Republic,40.13679813,1.00E-04,0.8767,0.8766,0.20933501
Ecuador,27.7808804,0.0029,1,0.9971,0.168955129
El Salvador,61.98216369,0.1396,1,0.8604,0.191572166
Equatorial Guinea,20.31038035,0.0356,0.4882,0.4526,0.088621185
Eritrea,18.60369413,1.00E-04,0.6463,0.6462,0.120382019
Estonia,31.29107755,0.0025,0.6893,0.6868,0.082823789
Ethiopia,29.47579404,2.00E-04,1,0.9998,0.18779762
Faroe Islands (Associate Member),15.34651478,0.1482,0.1667,0.0185,0.00925
Fiji,11.29727489,0.0151,0.5038,0.4887,0.104866556
Finland,24.86042926,0.0017,0.6729,0.6712,0.066232625
France,48.23409076,0.001,1,0.999,0.201684081
Gabon,26.51289263,0.0336,0.5228,0.4892,0.079190349
Gambia,36.96780165,0.2051,0.5506,0.3455,0.063706984
Georgia,36.00851671,0.0022,1,0.9978,0.311628616
Germany,41.98524212,0.0064,1,0.9936,0.134618748
Ghana,43.29848873,0.005,0.9454,0.9404,0.148877709
Greece,24.22971231,0.0028,0.8404,0.8376,0.139398749
Grenada,26.14456634,0.1768,0.31,0.1332,0.037414946
Guatemala,50.86180697,0.0178,1,0.9822,0.237627903
Guinea-Bissau,48.88459104,0.2111,0.8195,0.6084,0.124183296
Guinea,34.2037274,0.0397,0.9191,0.8794,0.183644027
Guyana,38.82401037,0.0423,0.5556,0.5133,0.131274844
Haiti,24.92268353,3.00E-04,0.5555,0.5552,0.112473011
Holy See,17.31,0.1731,0.1731,0,0
Honduras,37.03391236,0.0248,0.9228,0.898,0.172297347
Hungary,61.80738545,0.0869,0.9948,0.9079,0.178261277
Iceland,17.00439349,0.0233,0.3333,0.31,0.062525341
India,38.37874766,3.00E-04,1,0.9997,0.2202368
Indonesia,18.20890164,6.00E-04,1,0.9994,0.146463161
Iran (Islamic Republic of),19.1525512,1.00E-04,0.8551,0.855,0.140970572
Iraq,18.24213915,1.00E-04,0.74,0.7399,0.125206404
Ireland,33.18907003,0.0075,0.7577,0.7502,0.166403011
Israel,27.30316994,0.0167,0.6609,0.6442,0.13259284
Italy,29.02367514,0.001,0.9605,0.9595,0.163751121
Jamaica,21.17791874,0.0215,0.3333,0.3118,0.062223437
Japan,23.31911919,0.0026,0.9333,0.9307,0.215541838
Jordan,21.42126429,1.00E-04,0.4066,0.4065,0.108449767
Kazakhstan,31.2724116,1.00E-04,1.0001,1,0.168366115
Kenya,43.39318794,0.002,1,0.998,0.220659094
Kuwait,0.701596214,4.00E-04,0.02,0.0196,0.004313058
Kyrgyzstan,27.53944441,1.00E-04,0.9439,0.9438,0.247358828
Lao People&#39;s Democratic Republic,10.361048,0.0033,0.6394,0.6361,0.120499697
Latvia,40.28586389,0.0035,0.8224,0.8189,0.091030862
Lebanon,33.24136922,0.0056,0.7541,0.7485,0.124782152
Lesotho,35.52281351,0.075,0.6793,0.6043,0.109250773
Liberia,22.51915882,0.0954,0.383,0.2876,0.045945797
Libya,4.485571493,1.00E-04,0.4995,0.4994,0.081734806
Liechtenstein,14.13959154,0.0436,0.258,0.2144,0.069295829
Lithuania,47.04963587,0.1806,0.9151,0.7345,0.143803889
Luxembourg,30.95256901,0.1909,0.5296,0.3387,0.096782932
Madagascar,39.77929321,0.0048,1,0.9952,0.241200257
Malawi,44.33101277,9.00E-04,0.9999,0.999,0.197836332
Malaysia,13.69230494,0.0023,0.5162,0.5139,0.100081965
Mali,25.20834225,1.00E-04,1,0.9999,0.20435674
Malta,54.56289144,0.343,0.6962,0.3532,0.079406146
Mauritania,4.270779011,1.00E-04,0.3009,0.3008,0.059863212
Mauritius,37.75227486,0.1832,0.4971,0.3139,0.08484902
Mexico,33.05528395,1.00E-04,1,0.9999,0.197873374
Republic of Moldova,91.18658964,0.1464,1.0002,0.8538,0.156876115
Monaco,23.52970298,0.0893,0.4553,0.366,0.140199918
Mongolia,35.46569576,1.00E-04,0.9555,0.9554,0.148638478
Morocco,22.51474531,1.00E-04,0.834,0.8339,0.188743616
Mozambique,57.6616779,0.0017,1.0001,0.9984,0.191731282
Myanmar,16.89561919,9.00E-04,0.6054,0.6045,0.155265051
Namibia,17.8161542,2.00E-04,0.61,0.6098,0.100959933
Nepal,13.75777474,1.00E-04,0.8012,0.8011,0.217663927
Netherlands,39.16366949,0.0012,0.7843,0.7831,0.129438762
New Zealand,25.90379255,0.0016,0.9798,0.9782,0.184200458
Nicaragua,47.54135612,0.0017,0.9987,0.997,0.183356885
Niger,29.71259923,0.0031,0.7236,0.7205,0.107532643
Nigeria,41.88845311,0.0017,1,0.9983,0.151900455
Norway,17.19655553,6.00E-04,0.9852,0.9846,0.096508158
Oman,1.487568369,1.00E-04,0.1185,0.1184,0.010753552
Pakistan,18.55510582,1.00E-04,0.7264,0.7263,0.15935274
Panama,34.88612148,0.0011,0.7778,0.7767,0.207361076
Papua New Guinea,15.00700368,0.0011,0.6491,0.648,0.130214423
Paraguay,46.33839006,0.1308,0.9898,0.859,0.129997053
Peru,23.12051305,1.00E-04,1,0.9999,0.144673691
Philippines,23.71990923,0.0016,0.7778,0.7762,0.170257133
Poland,50.78098653,0.0338,0.9876,0.9538,0.138248754
Portugal,30.27916501,0.0413,0.7147,0.6734,0.120049078
Qatar,1.921548534,4.00E-04,0.0419,0.0415,0.01156312
Republic of Korea,11.63461805,0.0029,0.5082,0.5053,0.106567519
Romania,58.16161296,0.0189,1,0.9811,0.251570248
Russian Federation,42.48489886,2.00E-04,1.0002,1,0.245695049
Rwanda,30.68237457,0.0034,0.7594,0.756,0.135767419
Saint Kitts and Nevis,33.61671156,0.2365,0.3793,0.1428,0.040811701
Saint Lucia,31.77450987,0.1531,0.5011,0.348,0.087931545
Saint Vincent and the Grenadines,26.66795161,0.0988,0.3926,0.2938,0.079552435
Samoa,17.22907383,0.0372,0.3167,0.2795,0.076860908
San Marino,42.01054805,0.2618,0.5007,0.2389,0.095778252
Sao Tome and Principe,25.14232902,0.0599,0.4778,0.4179,0.125930245
Saudi Arabia,1.283490292,1.00E-04,0.1635,0.1634,0.018090342
Senegal,22.8559696,2.00E-04,0.5709,0.5707,0.12873339
Sierra Leone,28.35681604,0.0182,0.492,0.4738,0.103928511
Singapore,29.84621704,0.0626,0.3312,0.2686,0.087920918
Slovakia,45.32606679,0.0339,0.9404,0.9065,0.224107675
Slovenia,32.07225316,0.0185,0.8378,0.8193,0.172961122
Solomon Islands,8.317787387,0.0016,0.3128,0.3112,0.071472426
Somalia,15.22351584,1.00E-04,0.4444,0.4443,0.088542051
South Africa,35.24154164,1.00E-04,0.9785,0.9784,0.19588827
Spain,30.12673839,0.0035,0.9743,0.9708,0.154646058
Sri Lanka,39.06892373,0.0036,0.7936,0.79,0.199866729
Suriname,39.66958545,0.0285,0.5556,0.5271,0.127878647
Swaziland,34.51292353,0.0958,0.7609,0.6651,0.105220512
Sweden,28.24796737,0.0017,0.9831,0.9814,0.104904306
Switzerland,20.20184086,0.0037,0.7468,0.7431,0.1709893
Syrian Arab Republic,30.67641614,3.00E-04,0.7778,0.7775,0.148824754
Tajikistan,27.50837403,1.00E-04,0.9632,0.9631,0.274654769
Thailand,26.60749722,0.0055,0.7302,0.7247,0.147622671
The former Yugoslav Republic of Macedonia,32.49372849,0.014,0.8993,0.8853,0.208283976
Timor-Leste,39.53353386,0.0881,0.8898,0.8017,0.199396303
Togo,44.41453279,0.1182,0.9018,0.7836,0.116752312
Tonga,48.31635931,0.1503,0.5556,0.4053,0.117213414
Trinidad and Tobago,29.06678402,0.1194,0.5851,0.4657,0.096847182
Tunisia,18.43034585,1.00E-04,0.8867,0.8866,0.179300509
Turkey,41.58355297,0.0044,1,0.9956,0.205251269
Turkmenistan,19.44037621,1.00E-04,0.7778,0.7777,0.135499773
Uganda,38.50047678,7.00E-04,0.989,0.9883,0.15013318
Ukraine,74.57158371,0.0041,1.0002,0.9961,0.22619774
United Arab Emirates,0.331803017,1.00E-04,0.0685,0.0684,0.013897041
United Kingdom,33.06494997,8.00E-04,1,0.9992,0.17267389
United Republic of Tanzania,46.94071173,5.00E-04,0.95,0.9495,0.17022626
United States of America,42.59175123,1.00E-04,1,0.9999,0.206410488
Uruguay,66.82837465,0.012,1.0001,0.9881,0.265508843
Uzbekistan,26.59445942,1.00E-04,0.8618,0.8617,0.226557543
Vanuatu,12.89764128,8.00E-04,0.5111,0.5103,0.091610981
Venezuela (Bolivarian Republic of),23.83402062,1.00E-04,0.8913,0.8912,0.142931256
Viet Nam,18.13566687,0.0014,0.652,0.6506,0.165673151
Yemen,0.532248557,1.00E-04,0.1085,0.1084,0.011783456
Zambia,50.09036633,0.0047,0.9556,0.9509,0.131977932
Zimbabwe,40.76995201,0.0018,0.9925,0.9907,0.165379027
Sudan,21.74067185,1.00E-04,0.7704,0.7703,0.141505029
South Sudan,37.13076161,0.02,0.9638,0.9438,0.165843628
Montenegro,22.07773644,0.0173,0.7075,0.6902,0.135341504
Serbia,51.83362019,0.0124,1,0.9876,0.252961006
Egypt,3.716283182,1.00E-04,0.33,0.3299,0.046149867
