code,product_label,kenya_imported_value_2001,kenya_imported_value_2002,kenya_imported_value_2003,kenya_imported_value_2004,kenya_imported_value_2005,kenya_imported_value_2006,kenya_imported_value_2007,kenya_imported_value_2008,kenya_imported_value_2009,kenya_imported_value_2010,kenya_imported_value_2011,kenya_imported_value_2012,kenya_imported_value_2013,kenya_imported_value_2014,kenya_imported_value_2015,kenya_imported_value_2016,kenya_imported_value_2017,kenya_imported_value_2018
'TOTAL,All products,4007965,3327265,3475177,4563489,5846168,7232947,8989262,11127817,10202001,12092926,14788054,16282136,16406862,18386137,16062423,14113751,16690015,17376721
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",836413,639935,802808,1108064,1342621,1756492,1930795,3048713,2223455,2699808,4111212,4113502,3884593,4059900,2508021,2112703,2741389,3391510
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",331843,248026,278555,358201,478393,600087,801112,1084343,966569,1215779,1451962,1783155,1821515,1958964,1742786,1586702,1827758,1665765
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",246463,243657,272866,353138,426943,630681,820902,849702,815898,898704,971529,1134507,1319215,1477496,1611498,1138958,1114172,1228148
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",300338,229739,174836,282294,273464,415134,685343,952009,973404,1192300,1030731,1245402,1244156,1238413,1122140,1431721,1121391,1206015
'72,Iron and steel,143368,134888,164550,271451,266356,281955,382001,490379,397802,489107,661526,575610,774424,738193,714981,604605,734709,860532
'10,Cereals,177989,91871,131496,183830,173680,201617,239646,391008,749231,396749,636862,631453,577097,719484,647333,494603,1111188,843242
'39,Plastics and articles thereof,147440,124906,147942,204039,267234,312374,384119,436809,371648,492322,605612,621174,707263,763152,728669,662441,673943,769488
'15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...,129060,161472,163076,110343,183876,238548,343933,505827,369093,484683,632857,627949,562463,566421,473348,520565,656848,567731
'30,Pharmaceutical products,88648,95227,109792,127821,158019,203554,222175,289295,283056,332480,431689,469079,446786,572237,604497,574929,518284,558597
'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",69263,60837,83253,82096,122667,154748,200245,249437,252379,318227,365747,348763,321824,352921,308087,305496,328221,423103
'73,Articles of iron or steel,50383,47605,24044,40566,56168,68405,97803,134602,135528,150766,202405,331034,409036,381895,504934,465312,317927,398749
'38,Miscellaneous chemical products,78929,75072,68907,78572,98514,125585,146007,166500,163901,233960,247261,269629,291586,317230,306690,289548,317210,353356
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",44383,48302,47103,80245,60937,84338,126930,96114,113871,121539,177437,214284,253324,234960,279696,249705,261971,291515
'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",1857,745,846,1628,1134,8716,27675,1081,1971,1711,2923,10535,17357,26859,138305,140576,500321,258290
'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,49293,38058,37100,46023,61877,88922,88560,93344,107631,142199,187931,172483,146611,185629,199908,188032,215578,234980
'31,Fertilisers,95108,83046,83452,150424,141407,145087,119884,234558,197684,179525,268313,240559,324942,221415,246733,228234,283428,233120
'17,Sugars and sugar confectionery,99441,36267,52387,50993,53466,74982,117606,110723,104285,183140,123724,201183,194231,135304,158797,216002,594292,221357
'40,Rubber and articles thereof,54935,42838,50020,58019,79274,91563,124959,122744,124248,143374,166752,220503,223159,208418,200978,195013,186694,216111
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",35376,26717,26293,37649,44416,47838,74497,88256,61998,93799,102548,143516,154181,198770,206374,174251,183841,205277
'29,Organic chemicals,48288,43799,40749,51906,58579,77999,108321,109143,100011,132320,130242,167466,158776,167854,148102,141159,153942,203172
'88,"Aircraft, spacecraft, and parts thereof",424322,382740,217976,107498,603376,589681,499730,235505,349499,517652,263825,516518,251394,1466943,835488,76458,109285,161527
'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",23409,36207,37942,52827,50853,62293,73252,75158,78305,88096,106133,109036,126839,127839,141493,125843,139686,158115
'55,Man-made staple fibres,41606,36334,36953,47253,62151,61540,79239,69511,58292,89522,97575,114635,121581,129052,124190,131726,123691,156856
'76,Aluminium and articles thereof,31660,22724,29277,37820,47288,69062,101301,90938,79840,77852,137129,123069,131867,145547,119850,157765,137655,150932
'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",5924,5379,5105,7910,17790,17072,68113,76160,57155,85329,87660,124798,113043,100706,129191,104238,81554,118497
'07,Edible vegetables and certain roots and tubers,11876,7303,5665,5771,12376,19900,45393,28055,43024,34428,57414,71346,49424,50311,74725,55895,120772,115796
'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",24345,19938,20538,26889,32931,37476,45615,56092,51304,64936,74687,84141,82191,94863,92187,91922,97187,112324
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",9876,3641,1744,4434,2891,4465,5578,6579,11403,15053,21226,23923,25315,28299,40660,29201,108188,108857
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",34840,27301,27419,30135,48020,48910,66907,87116,72609,79919,94928,99560,109690,89181,89922,87367,90876,105234
'23,Residues and waste from the food industries; prepared animal fodder,4963,4537,5127,5469,5294,6283,13627,16619,18047,20376,30616,32120,29156,28322,33549,40368,120278,102504
'93,Arms and ammunition; parts and accessories thereof,16899,28795,24476,31800,3162,2727,9479,5561,24053,1653,34149,18811,8206,17915,25343,19873,58724,97487
'22,"Beverages, spirits and vinegar",14903,15458,12540,16977,19066,22258,26850,32502,29819,39559,46165,58037,52532,62582,61361,69846,84595,97372
'62,"Articles of apparel and clothing accessories, not knitted or crocheted",6514,4432,5281,4932,11088,16774,31228,25946,21647,34466,29833,28722,34154,30599,17777,34905,82940,94105
'96,Miscellaneous manufactured articles,11993,9842,8491,9283,15812,17845,19397,19814,17820,23767,24994,48536,94202,106221,90785,93125,90957,92574
'44,Wood and articles of wood; wood charcoal,3502,5192,5803,12884,8390,24357,40817,26694,19963,28108,35903,49311,45880,46723,49197,55304,52762,86357
'69,Ceramic products,9596,10095,12560,14747,19869,25178,30378,40436,34498,52318,55750,68601,74285,88243,87784,94573,82282,85878
'60,Knitted or crocheted fabrics,729,748,1180,1696,28783,26906,27231,34837,27079,63575,89283,66921,98494,106758,91081,66695,78482,85367
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",8941,5995,6391,8557,8614,10319,24639,31623,41506,52797,36868,66169,50614,50424,57222,72036,117319,83576
'52,Cotton,7385,8568,8666,11617,97661,101250,95086,97714,59999,67312,72946,62077,66970,74128,65642,66567,61125,80954
'54,Man-made filaments; strip and the like of man-made textile materials,8619,9052,8331,11479,14357,14599,16126,18163,11603,18745,23941,28975,32346,38410,32793,43638,48106,79571
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",7680,6091,8462,12178,14974,16126,18185,22557,29346,39641,52490,78295,75129,87470,76850,70628,78342,73698
'70,Glass and glassware,15883,14283,14122,20279,25495,26689,32300,40764,34856,44274,47566,51865,53590,66749,70396,71117,67824,71050
'21,Miscellaneous edible preparations,17536,9115,11304,12302,13408,15530,21760,31206,31736,36265,59972,52680,63399,60857,72027,73037,57228,70765
'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",38023,25625,34595,152937,39635,33803,41903,36626,29508,48526,39323,35813,37161,43400,41110,47484,77070,64794
'83,Miscellaneous articles of base metal,13232,11943,12913,15832,19581,32030,58093,42020,38124,42399,47419,51228,50787,52232,49190,43061,53447,60483
'24,Tobacco and manufactured tobacco substitutes,15725,14957,4496,27055,29921,24552,44108,58682,39351,64963,90085,50476,96408,68310,46522,53309,38240,52008
'64,"Footwear, gaiters and the like; parts of such articles",4935,4229,6722,8465,11908,11454,20697,24307,24886,33322,25866,31417,39938,41941,45043,48239,43675,51518
'61,"Articles of apparel and clothing accessories, knitted or crocheted",3398,2218,3650,4882,6408,15593,20526,16290,15545,17759,10993,14225,13056,13758,13036,21359,28934,47888
'79,Zinc and articles thereof,16315,13628,11375,16458,20775,41234,51431,29394,21942,35126,35289,24083,39541,38437,34579,24792,39643,46687
'74,Copper and articles thereof,6427,5622,6295,10334,15649,27795,38290,40028,27327,37233,48662,50234,52740,51416,47616,41700,39741,46303
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",13642,11307,10212,11516,12783,20890,25863,21196,19182,26612,32443,38972,46624,51828,38298,33107,31113,34378
'08,Edible fruit and nuts; peel of citrus fruit or melons,2797,2494,2824,4228,3772,4894,9451,8808,9635,11227,13710,16901,19653,20356,21806,23784,29386,32892
'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",5942,5824,5312,8747,7525,9389,11258,13570,15994,19709,21416,24399,28090,30821,28383,28778,30778,31082
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",15616,4728,6940,10437,13820,12276,32976,33859,44636,33499,50399,38970,35746,37358,45654,23702,31165,30663
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",4647,2202,2514,4506,5821,5675,8072,5632,6202,6966,11288,11666,13902,21275,18883,20843,23955,28655
'09,"Coffee, tea, maté and spices",5655,6664,8679,15635,9015,12488,9917,6043,5999,19561,15806,17033,22400,21430,24778,17649,21323,28056
'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",5854,4558,5776,7182,7671,8842,10950,11479,11400,12679,12224,14135,14317,17433,14487,18318,19685,25752
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",4899,2735,2437,2959,4000,6674,7424,7034,11086,14654,22724,29670,14193,14960,14221,14724,19706,25229
'11,Products of the milling industry; malt; starches; inulin; wheat gluten,11748,5320,5780,9244,15786,8462,40111,22382,55762,27724,43881,42810,42016,35754,23198,19373,18028,22222
'35,Albuminoidal substances; modified starches; glues; enzymes,4207,3212,4540,6146,6065,7978,8678,10356,8975,11997,15269,17490,19390,17915,17495,18216,18336,21453
'18,Cocoa and cocoa preparations,2786,3329,4220,4136,4190,5576,6265,8613,10202,13961,14993,15178,14863,16576,15105,14960,15634,20482
'89,"Ships, boats and floating structures",1090,1179,3134,206,6910,2639,1333,6351,2468,23270,12178,114332,32521,6006,33460,16784,41607,19494
'56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",4157,5223,6471,7418,7279,4669,5723,5006,5075,9052,9343,9504,9629,10974,12806,11783,14883,18612
'36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,5195,5609,5893,4536,4501,5793,5744,5875,5549,3503,8940,7169,10305,10358,13350,12212,8868,17810
'95,"Toys, games and sports requisites; parts and accessories thereof",4027,3858,4913,5272,6207,6797,9217,7577,7185,11165,10447,12917,11780,15326,17595,14907,12834,16757
'59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...",6770,4149,5237,4518,6295,6772,6743,5819,5800,7850,8432,11588,10541,11395,12439,10493,9471,12560
'26,"Ores, slag and ash",1512,829,1978,8589,4376,5355,3838,8608,3856,5231,5456,6920,3856,7296,17688,14040,11854,12248
'58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,1939,1724,1846,2349,11731,12086,9000,9303,7332,8388,11227,12752,10090,10296,8972,8776,10585,11869
'57,Carpets and other textile floor coverings,1733,1766,2192,3189,4057,3447,5129,5214,4429,6196,6229,6870,9215,8280,6606,6806,7872,9992
'65,Headgear and parts thereof,599,585,826,932,1461,1746,3611,3026,3494,4035,4105,4427,4119,8675,4959,4776,10101,7943
'37,Photographic or cinematographic goods,16650,11242,12346,11107,12985,10689,13225,11131,11015,12148,12665,12436,10650,10690,7890,7620,5923,7155
'67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,103,134,144,264,487,348,478,449,1018,1262,1448,3474,4383,6472,4906,798,1911,6456
'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",4028,2951,4528,9470,14533,15653,15329,15057,9166,10451,10847,8162,7393,9838,7638,6116,6150,6200
'02,Meat and edible meat offal,508,305,177,196,800,1088,1681,1454,761,713,1883,1568,884,1317,3026,3207,3144,5214
'41,Raw hides and skins (other than furskins) and leather,145,180,349,537,1394,2987,4361,3753,3738,8350,10316,14825,13673,8836,7434,6111,5771,4814
'01,Live animals,325,280,366,602,196,313,610,838,825,1732,1799,2207,1698,1850,6952,2614,5340,4808
'66,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",1218,1364,1004,633,1207,1562,1747,1466,1552,2010,1484,2879,1749,1952,2232,2795,2238,3318
'13,"Lac; gums, resins and other vegetable saps and extracts",1991,1638,803,962,1309,3278,4226,1493,2006,2329,3443,3321,2851,3142,2993,3148,3434,3205
'91,Clocks and watches and parts thereof,1577,1146,1553,1742,1962,1777,2181,2140,2404,2825,3367,3588,3130,2812,2858,2858,2203,2947
'92,Musical instruments; parts and accessories of such articles,465,292,401,436,390,349,510,412,484,725,513,888,830,933,889,1358,1134,2221
'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,3103,1960,1535,1607,2285,1067,1558,1582,1085,1673,363,351,653,860,850,1136,863,2036
'16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",392,294,386,644,212,626,445,228,414,797,473,767,1420,1274,1295,1057,2082,1790
'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,121,11,11,27,33,92,41,84,63,116,325,197,254,221,525,866,1108,1773
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",837,709,1006,829,1920,1088,1344,1552,1184,2186,9455,3582,20286,21798,7954,1296,2882,1540
'05,"Products of animal origin, not elsewhere specified or included",269,590,839,1332,1522,2208,2855,4068,4051,6285,5088,7450,3432,1673,1701,1425,1101,1404
'78,Lead and articles thereof,404,339,355,471,623,932,678,1437,1660,1180,1761,1442,2498,1099,1398,1439,1552,1206
'53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,262,678,1388,1196,1836,1472,462,787,383,740,857,1781,1653,1339,1450,1269,634,835
'46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",91,65,68,127,26,70,106,93,244,103,186,163,181,184,203,137,151,562
'97,"Works of art, collectors' pieces and antiques",146,93,193,623,607,145,346,392,298,1024,556,579,733,625,439,640,412,562
'80,Tin and articles thereof,119,369,77,262,468,271,768,738,763,199,909,375,497,318,251,438,472,528
'81,Other base metals; cermets; articles thereof,100,114,87,271,1006,1517,1154,496,289,163,646,291,450,421,391,260,202,295
'75,Nickel and articles thereof,137,115,174,186,284,299,468,599,444,476,434,246,1232,566,253,242,212,253
'51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",181,46,46,54,183,215,3552,193,93,411,555,255,360,257,63,105,128,187
'50,Silk,56,7,24,32,61,73,20,44,25,190,157,154,205,73,128,92,43,98
'45,Cork and articles of cork,21,33,96,20,17,49,14,90,19,60,51,41,38,122,33,66,12,33
'43,Furskins and artificial fur; manufactures thereof,20,15,2,2,7,7,11,8,8,36,11,4,12,3,4,0,14,1
'99,Commodities not elsewhere specified,5,0,20,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
