code,product_label,uganda_imported_2001,uganda_imported_2002,uganda_imported_2003,uganda_imported_2004,uganda_imported_2005,uganda_imported_2006,uganda_imported_2007,uganda_imported_2008,uganda_imported_2009,uganda_imported_2010,uganda_imported_2011,uganda_imported_2012,uganda_imported_2013,uganda_imported_2014,uganda_imported_2015,uganda_imported_2016,uganda_imported_2017,uganda_imported_2018
'TOTAL,All products,1005479,1073753,1375106,1720215,2054137,2557307,3493354,4525859,4247371,4664338,5630875,6044147,5817510,6073528,5528117,4829459,5595904,6729377
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",164137,176088,190076,221115,349887,541833,658438,865995,747569,937782,1318839,1366561,1340564,1444391,1032032,796595,1036348,1318770
'84,"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",71714,87697,119582,149730,164017,181430,267706,364610,427140,512524,486135,702156,443366,490889,482977,404501,558553,535907
'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",90220,107815,116212,153793,206982,224019,298204,348338,384722,430359,509203,533887,530275,543674,530664,420812,458422,508596
'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",118168,80690,101910,158464,165233,246099,482966,527230,451076,416936,532470,500806,389686,374131,423399,300764,316387,411522
'39,Plastics and articles thereof,30928,29382,44175,61672,83964,96438,130297,160230,135863,160129,226962,236070,234863,266973,286357,243574,289115,386504
'72,Iron and steel,41612,52307,73426,89369,110602,133857,162820,293412,210351,223414,264141,242011,251911,251053,279557,209653,283565,369384
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",332,222,227,312,229,359,407,658,612,867,1349,760,876,621,657,616,842,335513
'30,Pharmaceutical products,47419,45499,73082,77553,81778,119741,172046,241669,208618,198960,255517,251832,347689,358081,370962,312419,268821,281159
'15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...,23646,36304,56992,63074,68397,82593,116695,209268,131911,189291,247918,250172,227963,268131,210122,230788,275492,248426
'10,Cereals,40075,56087,86490,110255,125873,142628,140133,147189,178640,162966,200990,276999,221868,246672,178461,180008,249275,236357
'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",33257,34258,38455,49603,51030,63319,69967,100919,98919,98623,124283,123617,120363,109028,107834,112009,130834,162383
'38,Miscellaneous chemical products,20967,16997,23128,26796,27916,31095,39581,69115,46617,63090,74893,80166,94561,94453,120757,106203,126260,150267
'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",30737,35662,44108,45727,54342,58844,81414,124974,136860,129037,133452,136708,113398,137804,128358,115604,113794,133182
'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,30020,33847,37658,39250,42203,49506,61025,62350,59095,98205,70566,83149,130809,131088,111569,147497,121409,121498
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",14174,15954,27817,31658,38907,41490,60816,56824,55367,63020,82224,89000,152328,98526,84496,88176,100004,101876
'17,Sugars and sugar confectionery,24316,16077,14929,23047,28981,42443,71320,71374,75161,90488,136239,160823,146850,110193,102800,81851,122598,97639
'29,Organic chemicals,9120,9500,10061,12120,16751,19355,26807,38317,37804,36459,41797,59177,54630,50967,55320,61821,81896,95806
'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",12044,15139,17156,26328,29111,38676,38691,50494,43076,43380,52699,63500,69720,77775,76709,68404,81803,84744
'40,Rubber and articles thereof,23596,23173,26038,29174,31254,36373,38268,53957,50360,54369,57164,68879,71478,76538,66322,73006,69220,75726
'73,Articles of iron or steel,12902,13866,22046,28522,26964,28478,53554,85544,121662,89689,74587,56092,72811,100000,57111,71437,52176,75235
'64,"Footwear, gaiters and the like; parts of such articles",6393,7353,14057,20070,22399,25934,38243,43849,38659,40765,39079,44183,51165,50524,49835,56221,62753,73992
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",8017,8125,9095,10638,14171,14998,18596,31901,28623,26663,30042,34460,38602,35175,37271,36578,41760,53721
'88,"Aircraft, spacecraft, and parts thereof",1452,1934,1874,1940,3234,3420,4043,9578,15460,41192,52250,38163,38413,48439,40780,30015,30621,51564
'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",4235,4313,5315,6039,6405,8691,10288,15070,12472,14833,18086,19306,21639,24862,28884,25919,34623,47741
'96,Miscellaneous manufactured articles,6696,3340,5494,4536,4758,4270,6665,9656,8396,8397,8435,18913,28857,37789,35195,37633,41509,46309
'55,Man-made staple fibres,8723,10395,14281,16235,13193,13898,21058,23445,17348,18771,23207,20060,21874,19362,20324,22136,28608,44487
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",9840,11045,13476,17200,14446,19622,34279,25165,28128,34119,35843,33865,38073,46675,38498,40081,37845,41286
'31,Fertilisers,4883,6461,8114,12523,9352,12024,12186,37101,40983,20717,24652,36944,49709,23138,32814,33737,27040,38996
'62,"Articles of apparel and clothing accessories, not knitted or crocheted",8272,7901,9821,14993,16817,19699,24613,31858,25714,23935,25453,24389,22925,23200,21224,22197,27064,35777
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",5824,5639,7720,11335,15127,17330,15360,24743,20002,25281,34751,36928,38141,44232,36422,28309,28333,35446
'22,"Beverages, spirits and vinegar",1282,1938,3361,11008,10311,16599,28030,51999,60433,52850,62461,75394,70754,70635,67820,58694,39331,35112
'69,Ceramic products,5101,6381,8374,10580,11702,11162,22521,21304,19552,21827,25177,25836,29468,32114,31715,36701,36640,34698
'21,Miscellaneous edible preparations,2827,5148,5632,5503,6163,8180,7892,14469,14756,14147,21323,27524,28102,28598,29204,27144,32914,34311
'76,Aluminium and articles thereof,4224,5509,6734,10704,10392,12104,15657,18337,17877,21525,29783,27629,24938,28723,21275,18488,27755,28396
'70,Glass and glassware,6373,6492,7697,10673,11084,16434,22075,21791,19839,19365,24090,24902,22621,23238,24741,22298,24928,27951
'23,Residues and waste from the food industries; prepared animal fodder,287,286,324,456,334,340,1162,737,935,1079,1804,2267,4035,4713,6971,7967,11013,23438
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",2260,2332,2918,2777,4915,5672,6297,8546,9590,13204,22624,24616,24368,27486,22136,17013,20493,22996
'61,"Articles of apparel and clothing accessories, knitted or crocheted",4746,4332,5245,4938,5496,8895,18901,17952,12800,15757,12935,12185,14322,13369,10137,12794,15405,20513
'83,Miscellaneous articles of base metal,4491,5129,5723,6899,9145,10308,13358,15095,14032,13425,14481,17230,17599,17233,16457,18677,18959,20351
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",7529,5390,6637,6028,7108,9445,14691,14724,17593,15840,16840,17032,15807,13194,14296,16636,17068,19052
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",1112,1149,10275,6748,13524,10016,8899,11026,8653,6803,7272,6877,8019,7845,12883,12335,14225,17201
'54,Man-made filaments; strip and the like of man-made textile materials,1729,1885,2144,2844,2314,3894,5179,4686,5730,7512,14269,13406,13792,15363,14064,11492,11479,16303
'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",3625,4698,5605,6035,5870,5224,7696,10476,10196,8985,11452,9820,11349,12659,11504,13939,14636,15864
'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",11951,19903,26659,30772,36761,30899,28196,42036,73972,49811,37977,26646,28299,18971,20103,35753,22265,14470
'11,Products of the milling industry; malt; starches; inulin; wheat gluten,12557,15200,18340,22791,13504,11420,15066,21247,19944,16031,15883,11593,7028,5795,3330,4274,8626,12729
'07,Edible vegetables and certain roots and tubers,1451,2695,5432,13765,17283,7766,13235,8443,1648,1525,2938,3481,3042,8638,7016,7184,17067,12463
'52,Cotton,749,1694,1691,1958,4405,4942,5605,8163,8981,8771,4726,5262,6133,6225,8478,10109,13979,12457
'09,"Coffee, tea, maté and spices",512,878,887,866,1458,2343,2503,3825,3321,4756,5039,4198,4005,21182,18993,12022,20881,12261
'79,Zinc and articles thereof,2545,192,1703,3116,3648,4728,7728,7250,4580,6572,6127,7946,13423,18862,18958,13037,10572,11648
'35,Albuminoidal substances; modified starches; glues; enzymes,1038,1007,1538,1333,2297,2174,2448,4446,3349,3405,4595,5409,6205,6255,8229,7947,10466,10858
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",83,49,604,79,41,134,561,720,579,1381,1829,1834,1241,1416,1508,1520,4652,9956
'08,Edible fruit and nuts; peel of citrus fruit or melons,272,244,461,611,835,887,1218,1387,2467,2595,3108,3535,4291,4677,6549,6898,7664,9120
'56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",3710,3138,4321,5610,4443,4699,3507,5089,5148,5171,5296,6976,4662,5355,6580,7568,7902,8950
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",478,871,1184,1415,1868,2410,4973,7404,8058,8722,9149,8569,6551,7623,5982,9309,8657,8689
'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",1020,1173,1691,2371,2389,2287,7135,3618,3416,4580,4971,5348,4798,6693,6942,5658,6868,7841
'01,Live animals,573,449,1103,584,802,435,862,1244,1304,2663,2254,2494,1907,3714,3737,3350,3902,6859
'24,Tobacco and manufactured tobacco substitutes,964,1126,1380,3154,4028,5646,9283,10669,11895,11952,14018,11256,9428,10395,9840,8203,8245,6817
'74,Copper and articles thereof,727,686,887,1250,1992,2091,4362,4045,5024,2081,2871,3635,4027,2945,3581,2983,3669,5785
'26,"Ores, slag and ash",8,8,3,2,12,15,17,73,595,274,821,308,365,206,350,2501,6452,5730
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",1233,2491,2798,2113,2115,3127,5445,5587,3711,4110,5107,5194,5056,5712,3846,1973,2113,5323
'41,Raw hides and skins (other than furskins) and leather,62,75,4,156,60,28,90,19,14,59,821,1527,2602,4545,5839,2817,3850,5143
'95,"Toys, games and sports requisites; parts and accessories thereof",952,1339,1591,1643,1834,2305,3870,3990,3725,4299,4316,3750,4504,4755,4343,4921,4343,5139
'44,Wood and articles of wood; wood charcoal,1777,2205,3636,3757,4020,6603,6206,11578,9413,6291,6193,6981,5892,9081,5969,5529,4480,4753
'59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...",302,186,300,369,730,604,594,704,692,899,976,1070,1355,1647,2252,3151,3993,4386
'16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",232,336,937,569,1734,765,1023,1312,1354,1628,2924,2943,2103,3285,2091,2213,2443,3520
'18,Cocoa and cocoa preparations,947,931,907,1445,1565,1787,1921,2188,2112,2104,2402,2677,2454,2846,2650,2017,2631,2994
'67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,183,226,419,505,659,912,1150,1633,1515,2117,1836,2835,3055,3997,3501,3731,3414,2958
'65,Headgear and parts thereof,322,410,654,669,522,1073,1528,2318,1541,3412,2378,2182,2034,2597,2148,2394,2716,2851
'37,Photographic or cinematographic goods,2746,2854,3311,2540,2093,2695,2913,3837,3034,7324,3642,3659,3450,3290,2774,1629,2044,2434
'57,Carpets and other textile floor coverings,327,478,368,670,637,1086,3506,1248,1328,1959,1902,1777,1559,2457,1570,1619,2029,1899
'13,"Lac; gums, resins and other vegetable saps and extracts",66,98,129,116,246,228,274,318,173,111,422,401,387,131,437,234,717,1574
'89,"Ships, boats and floating structures",296,1323,147,5520,2426,1442,2236,2779,245,8198,972,3681,7772,3402,4437,461,2039,1430
'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",982,375,743,499,619,872,1168,781,1099,989,1227,1586,945,1202,688,680,1135,1365
'02,Meat and edible meat offal,85,131,30,83,39,28,100,58,103,206,1256,1846,1614,1506,1410,1107,1748,1313
'36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,2218,3029,3359,4497,3888,3493,4403,10708,3386,5420,4280,5861,5303,3533,8459,5266,4005,1150
'58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,1282,927,752,1032,1094,1385,1275,1472,1431,1527,2041,1481,1261,1051,1261,1013,1017,1139
'91,Clocks and watches and parts thereof,410,440,435,451,502,432,473,739,854,719,720,603,528,633,596,735,924,1048
'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",1232,1328,746,2436,2848,1190,763,1522,2419,2043,6672,4941,4750,4248,6466,12838,2331,1034
'60,Knitted or crocheted fabrics,235,102,78,117,100,307,114,251,392,596,462,337,281,157,297,246,736,1015
'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,67,83,34,52,213,74,59,267,66,201,383,550,411,359,619,474,522,932
'66,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",151,219,266,170,217,281,432,729,504,707,672,592,624,707,553,614,657,729
'05,"Products of animal origin, not elsewhere specified or included",67,123,80,525,331,153,91,340,204,137,167,511,158,230,174,164,79,456
'92,Musical instruments; parts and accessories of such articles,94,168,102,163,260,227,231,272,306,304,272,369,374,386,355,353,357,397
'53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,129,131,419,219,304,244,533,571,429,648,509,340,73,319,224,392,307,353
'81,Other base metals; cermets; articles thereof,25,20,28,60,9,72,31,59,654,77,134,760,375,216,172,176,167,310
'46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",10,15,41,29,83,100,171,132,172,188,208,121,151,140,157,173,108,267
'97,"Works of art, collectors' pieces and antiques",75,45,86,48,120,170,291,145,96,185,194,106,164,252,185,141,166,228
'80,Tin and articles thereof,220,32,20,376,178,94,34,93,283,31,189,203,383,78,210,121,247,213
'45,Cork and articles of cork,31,0,1,2,12,7,15,22,12,1,38,11,10,11,8,15,59,164
'75,Nickel and articles thereof,4,27,50,2,33,41,14,68,16,23,36,109,33,64,53,34,30,65
'43,Furskins and artificial fur; manufactures thereof,5,2,1,0,0,1,0,1,604,853,777,608,564,556,1451,330,131,60
'93,Arms and ammunition; parts and accessories thereof,445,136,880,802,5431,331,1030,2007,367,8875,5658,118,59,58,167,126,94,52
'51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",2,1,3,9,19,53,6,27,18,36,19,3,25,8,8,5,51,24
'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,97,4,14,149,75,150,105,424,272,122,194,69,129,160,120,346,12
'78,Lead and articles thereof,310,296,367,618,596,826,828,2214,1170,907,1594,1430,1128,1387,1477,575,158,12
'50,Silk,15,0,6,2,0,6,7,131,29,11,13,5,17,49,21,14,32,4
'99,Commodities not elsewhere specified,0,20,6,1,1,4583,14837,0,0,0,0,0,0,0,0,0,0,0
